year,title,author,id,community
1907,Pragmatism: A New Name for Some Old Ways of Thinking,William James,202,4
1908,The Philosophy of Loyalty,Josiah Royce,205,4
1912,The New Realism,E.B. Holt/W.T. Marvin/William Pepperell Montague/Ralph Barton Perry/W.B. Pitkin/E.G. Spaulding,214,4
1913,The Value and Destiny of the Individual,Bernard Bosanquet,218,4
1920,Reconstruction in philosophy,John Dewey,226,4
1920,"Space, Time, and Deity",Samuel Alexander,227,4
1925,Experience and Nature,John Dewey,242,4
1925,The Ways of Knowing,William Pepperell Montague,244,4
1926,General Theory of Value,Ralph Barton Perry,246,4
1930,The Right and the Good,William David Ross,257,4
1932,Art as Experience,John Dewey,265,4
1938,Modes of Thought,Alfred North Whitehead,282,4
1944,Ethics and Language,Charles Leslie Stevenson,298,4
1947,Eclipse of Reason,Max Horkheimer,310,4
1684,Rules for the Direction of the Mind,René Descartes,14,5
1754,On the interpretation of Nature,Denis Diderot,58,5
1800,The Vocation of Man,Johann Gottlieb Fichte,94,5
1821,The Christian faith according to the principles of the evangelical church,Friedrich Schleiermacher,109,5
1824,Psychology as a science,Johann Friedrich Herbart,111,5
1843,Either/Or,Søren Kierkegaard,124,5
1843,Fear and Trembling,Søren Kierkegaard,125,5
1844,The Concept of Anxiety,Søren Kierkegaard,128,5
1874,Untimely Meditations,Friedrich Nietzsche,149,5
1874,System of Philosophy,Hermann Lotze,150,5
1889,Time and Free Will,Henri Bergson,170,5
1896,Matter and Memory,Henri Bergson,182,5
1900,Logical Investigations,Edmund Husserl,185,5
1902,The Logic of Pure Perception,Hermann Cohen,188,5
1902,Lectures on Natural Philosophy,Wilhelm Ostwald,189,5
1907,Creative Evolution,Henri Bergson,203,5
1910,Philosophy as Rigorous Science,Edmund Husserl,211,5
1913,General Introduction to a Pure Phenomenology,Edmund Husserl,215,5
1913,Formalism in Ethics and Non-Formal Ethics of Values,Max Scheler,216,5
1913,The Nature of Sympathy,Max Scheler,217,5
1921,On the Eternal in Man,Max Scheler,232,5
1921,Foundation of a Metaphysics of Knowledge,Nicolai Hartmann,229,5
1923,Philosophy of Symbolic Forms,Ernst Cassirer,236,5
1923,I and Thou,Martin Buber,240,5
1927,Being and Time,Martin Heidegger,248,5
1928,On the Phenomenology of the Consciousness of Internal Time,Edmund Husserl,251,5
1929,Kant and the Problem of Metaphysics,Martin Heidegger,252,5
1932,The Two Sources of Morality and Religion,Henri Bergson,266,5
1935,A New Critique of Theoretical Thought,Herman Dooyeweerd,273,5
1936,The Crisis of European Sciences and Transcendental Phenomenology,Edmund Husserl,276,5
1936,The Transcendence of the Ego,Jean-Paul Sartre,279,5
1938,The Psychoanalysis of Fire,Gaston Bachelard,285,5
1938,The Formation of the Scientific Mind,Gaston Bachelard,286,5
1942,The Structure of Behavior,Maurice Merleau-Ponty,293,5
1943,Being and Nothingness,Jean-Paul Sartre,295,5
1944,An Essay on Man,Ernst Cassirer,299,5
1945,Phenomenology of Perception,Maurice Merleau-Ponty,302,5
1949,The Second Sex,Simone de Beauvoir,317,5
1728,Rational Philosophy or Logic,Christian Wolff,37,6
1739,A Treatise of Human Nature,David Hume,47,6
1748,An Enquiry Concerning Human Understanding,David Hume,52,6
1783,Prolegomena to Any Future Metaphysics ,Immanuel Kant,75,6
1837,Theory of Science,Bernard Bolzano,119,6
1854,An Investigation of The Laws of Thought,George Boole,137,6
1874,The Principles of Science: A Treatise on Logic and Scientific Method,William Stanley Jevons,152,6
1879,Concept Script,Gottlob Frege,159,6
1884,The Foundations of Arithmetic,Gottlob Frege,164,6
1886,Contributions to the Analysis of the Sensations,Ernst Mach,166,6
1888,Critique of Pure Experience,Richard Avenarius,168,6
1889,System of Philosophy,Wilhelm Wundt,169,6
1891,Der menschliche Weltbegriff,Richard Avenarius,172,6
1903,The Principles of Mathematics,Bertrand Russell,192,6
1903,Science and Hypothesis,Henri Poincaré,195,6
1904,Investigations in Theory of Objects and Psychology,Alexius Meinong,196,6
1905,Knowledge and Error,Ernst Mach,197,6
1905,The Value of Science,Henri Poincaré,200,6
1908,Science and Method,Henri Poincaré,206,6
1912,The Problems of Philosophy,Bertrand Russell,213,6
1918,A Survey of Symbolic Logic,Clarence Irving Lewis,222,6
1918,General Theory of Knowledge,Moritz Schlick,223,6
1921,The Analysis of Mind,Bertrand Russell,233,6
1921,Treatise on Probability,John Maynard Keynes,234,6
1921,Tractatus Logico-Philosophicus,Ludwig Wittgenstein,231,6
1922,Philosophical Studies,G. E. Moore,235,6
1927,Philosophy of Mathematics and Natural Science,Hermann Weyl,249,6
1928,The Logical Structure of the World,Rudolf Carnap,250,6
1929,Mind and the World Order,Clarence Irving Lewis,255,6
1931,"The Foundations of Mathematics, and other Logical Essays",Frank Ramsey,259,6
1931,On Formally Undecidable Propositions of Principia Mathematica and Related Systems,Kurt Gödel,260,6
1933,Experience and its Modes,Michael Oakeshott,268,6
1934,The Logic of Scientific Discovery,Karl Popper,271,6
1934,The Logical Syntax of Language,Rudolf Carnap,272,6
1936,"Language, Truth, and Logic",Alfred Jules Ayer,278,6
1936,Introduction to Logic and to the Methodology of the Deductive Sciences,Alfred Tarski,280,6
1938,Experience and prediction,Hans Reichenbach,281,6
1939,Philosophy of Physical Science,Arthur Eddington,288,6
1944,Philosophic Foundations of Quantum Mechanics,Hans Reichenbach,296,6
